State,County,Area (sqmi)
Georgia_(U.S._state),Taylor County,378.0
Georgia_(U.S._state),Telfair County,441.0
Georgia_(U.S._state),Terrell County,336.0
Georgia_(U.S._state),Thomas County,548.0
Georgia_(U.S._state),Tift County,265.0
Georgia_(U.S._state),Toombs County,367.0
Georgia_(U.S._state),Towns County,166.0
Georgia_(U.S._state),Treutlen County,201.0
Georgia_(U.S._state),Troup County,414.0
Georgia_(U.S._state),Turner County,286.0
Georgia_(U.S._state),Twiggs County,360.0
Georgia_(U.S._state),Union County,323.0
Georgia_(U.S._state),Upson County,326.0
Georgia_(U.S._state),Walker County,446.0
Georgia_(U.S._state),Walton County,329.0
Georgia_(U.S._state),Ware County,903.0
Georgia_(U.S._state),Warren County,286.0
Georgia_(U.S._state),Washington County,680.0
Georgia_(U.S._state),Wayne County,645.0
Georgia_(U.S._state),Webster County,210.0
Georgia_(U.S._state),Wheeler County,298.0
Georgia_(U.S._state),White County,242.0
Georgia_(U.S._state),Whitfield County,290.0
Georgia_(U.S._state),Wilcox County,380.0
Georgia_(U.S._state),Wilkes County,471.0
Georgia_(U.S._state),Wilkinson County,447.0
Georgia_(U.S._state),Worth County,570.0
Hawaii,Hawaii County,4028.0
Hawaii,Honolulu County,597.0
Hawaii,Kalawao County,5.2
Hawaii,Kauai County,622.0
Hawaii,Maui County,1120.0
Idaho,Ada County,1055.0
Idaho,Adams County,1365.0
Idaho,Bannock County,1113.0
Idaho,Bear Lake County,971.0
Idaho,Benewah County,776.0
Idaho,Bingham County,2095.0
Idaho,Blaine County,2645.0
Idaho,Boise County,1902.0
Idaho,Bonner County,1738.0
Idaho,Bonneville County,1869.0
Idaho,Boundary County,1269.0
Idaho,Butte County,2233.0
Idaho,Camas County,1075.0
Idaho,Canyon County,590.0
Idaho,Caribou County,1766.0
Idaho,Cassia County,2567.0
Idaho,Clark County,1765.0
Idaho,Clearwater County,2462.0
Idaho,Custer County,4926.0
Idaho,Elmore County,3078.0
Idaho,Franklin County,666.0
Idaho,Fremont County,1867.0
Idaho,Gem County,563.0
Idaho,Gooding County,731.0
Idaho,Idaho County,8485.0
Idaho,Jefferson County,1095.0
Idaho,Jerome County,600.0
Idaho,Kootenai County,1245.0
Idaho,Latah County,1077.0
Idaho,Lemhi County,4564.0
Idaho,Lewis County,479.0
Idaho,Lincoln County,1206.0
Idaho,Madison County,472.0
Idaho,Minidoka County,760.0
Idaho,Nez Perce County,849.0
Idaho,Oneida County,1200.0
Idaho,Owyhee County,7678.0
Idaho,Payette County,408.0
Idaho,Power County,1406.0
Idaho,Shoshone County,2634.0
Idaho,Teton County,450.0
Idaho,Twin Falls County,1925.0
Idaho,Valley County,3733.0
Idaho,Washington County,1456.0
Illinois,Adams County,857.0
Illinois,Alexander County,236.0
Illinois,Bond County,380.0
Illinois,Boone County,281.0
Illinois,Brown County,306.0
Illinois,Bureau County,869.0
Illinois,Calhoun County,254.0
Illinois,Carroll County,444.0
Illinois,Cass County,376.0
Illinois,Champaign County,997.0
Illinois,Christian County,709.0
Illinois,Clark County,502.0
Illinois,Clay County,469.0
Illinois,Clinton County,474.0
Illinois,Coles County,508.0
Illinois,Cook County,946.0
Illinois,Crawford County,444.0
Illinois,Cumberland County,346.0
Illinois,DeKalb County,634.0
Illinois,DeWitt County,398.0
Illinois,Douglas County,417.0
Illinois,DuPage County,334.0
Illinois,Edgar County,624.0
Illinois,Edwards County,222.0
Illinois,Effingham County,479.0
Illinois,Fayette County,716.0
Illinois,Ford County,486.0
Illinois,Franklin County,412.0
Illinois,Fulton County,866.0
Illinois,Gallatin County,324.0
